,年份,总人口(年末),男性人口数,男性比重,女性人口数,女性比重,城镇人口数,城镇比重,乡村人口数,乡村比重
0,1949,54167,28145,51.95968024812155,26022,48.04031975187845,5765,10.643011427621985,48402,89.35698857237801
1,1950,55196,28669,51.9403579969563,26527,48.0596420030437,6169,11.176534531487789,49027,88.82346546851221
2,1951,56300,29231,51.92007104795737,27069,48.07992895204263,6632,11.7797513321492,49668,88.2202486678508
3,1955,61465,31809,51.7514032376149,29656,48.2485967623851,8285,13.479215813877818,53180,86.52078418612219
4,1960,66207,34283,51.78153367468696,31924,48.21846632531303,13073,19.7456462307611,53134,80.2543537692389
5,1965,72538,37128,51.18420689845322,35410,48.815793101546774,13045,17.983677520747747,59493,82.01632247925225
6,1970,82992,42686,51.433873144399456,40306,48.56612685560054,14424,17.37998843262001,68568,82.62001156737999
7,1971,85229,43819,51.4132513581058,41410,48.58674864189419,14711,17.26055685271445,70518,82.73944314728556
8,1972,87177,44813,51.40461360221159,42364,48.59538639778841,14935,17.13181228993886,72242,82.86818771006114
9,1973,89211,45876,51.4241517301678,43335,48.57584826983219,15345,17.20079362410465,73866,82.79920637589535
10,1974,90859,46727,51.428036848303414,44132,48.571963151696586,15595,17.163957340494612,75264,82.83604265950538
11,1975,92420,47564,51.46505085479334,44856,48.53494914520666,16030,17.344730577797012,76390,82.65526942220298
12,1976,93717,48257,51.49225860836347,45460,48.50774139163652,16341,17.43653766125676,77376,82.56346233874325
13,1977,94974,48908,51.49619895971529,46066,48.50380104028471,16669,17.551119253690484,78305,82.44888074630951
14,1978,96259,49567,51.49,46692,48.51,17245,17.92,79014,82.08
15,1979,97542,50192,51.45680834922393,47350,48.54319165077607,18495,18.96106292673925,79047,81.03893707326075
16,1980,98705,50785,51.45,47920,48.55,19140,19.39,79565,80.61
17,1981,100072,51519,51.48193300823407,48553,48.51806699176593,20171,20.15648732912303,79901,79.84351267087698
18,1982,101654,52352,51.50018690853286,49302,48.49981309146713,21480,21.130501505105553,80174,78.86949849489444
19,1983,103008,53152,51.59987573780678,49856,48.40012426219323,22274,21.623563218390803,80734,78.37643678160919
20,1984,104357,53848,51.5997968511935,50509,48.400203148806504,24017,23.014268328909417,80340,76.98573167109059
21,1985,105851,54725,51.7,51126,48.3,25094,23.71,80757,76.29
22,1986,107507,55581,51.69988930953333,51926,48.30011069046667,26366,24.52491465672003,81141,75.47508534327997
23,1987,109300,56290,51.500457456541625,53010,48.499542543458375,27674,25.319304666056723,81626,74.68069533394328
24,1988,111026,57201,51.520364599283056,53825,48.479635400716944,28661,25.814674040314884,82365,74.18532595968512
25,1989,112704,58099,51.550078080636,54605,48.449921919363995,29540,26.210249858035205,83164,73.78975014196479
26,1990,114333,58904,51.52,55429,48.48,30195,26.41,84138,73.59
27,1991,115823,59466,51.34,56357,48.66,31203,26.94,84620,73.06
28,1992,117171,59811,51.05,57360,48.95,32175,27.46,84996,72.54
29,1993,118517,60472,51.02,58045,48.98,33173,27.99,85344,72.01
30,1994,119850,61246,51.1,58604,48.9,34169,28.51,85681,71.49
31,1995,121121,61808,51.03,59313,48.97,35174,29.04,85947,70.96
32,1996,122389,62200,50.82,60189,49.18,37304,30.48,85085,69.52
33,1997,123626,63131,51.07,60495,48.93,39449,31.91,84177,68.09
34,1998,124761,63940,51.25,60821,48.75,41608,33.35,83153,66.65
35,1999,125786,64692,51.43,61094,48.57,43748,34.78,82038,65.22
36,2000,126743,65437,51.63,61306,48.37,45906,36.22,80837,63.78
37,2001,127627,65672,51.4561965728255,61955,48.5438034271745,48064,37.66,79563,62.34
38,2002,128453,66115,51.470187539411306,62338,48.5298124605887,50212,39.089783811977924,78241,60.91021618802208
39,2003,129227,66556,51.50316884242457,62671,48.49683115757543,52376,40.53022975074868,76851,59.46977024925132
40,2004,129988,66976,51.5247561313352,63012,48.475243868664805,54283,41.76000861617995,75705,58.23999138382005
41,2005,130756,67375,51.52727217106672,63381,48.47272782893328,56212,42.989996634953656,74544,57.010003365046344
42,2006,131448,67728,51.52,63720,48.48,58288,44.34286666666666,73160,55.65713333333334
43,2007,132129,68048,51.5,64081,48.5,60633,45.88899999999999,71496,54.11100000000001
44,2008,132802,68357,51.47,64445,48.53,62403,46.98913333333332,70399,53.01086666666668
45,2009,133450,68646.68,51.44,64803.32,48.56,64512,48.34199999999999,68938,51.65800000000001
46,2010,134091,68748.4557,51.27,65342.544299999994,48.73,66978,49.95,67113,50.05
47,2011,134735,69068,51.26,65667,48.74,69079,51.27,65656,48.73
48,2012,135404,69395,51.25,66009,48.75,71182,52.57,64222,47.43
49,2013,136072,69728,51.24,66344,48.76,73111,53.73,62961,46.27
50,2014,136782,70079,51.23,66703,48.77,74916,54.77,61866,45.23
51,2015,137462,70414,51.224338362602026,67048,48.775661637397974,77116,56.1,60346,43.9
52,2016,138271,70815,51.21,67456,48.79,79298,57.35,58973,42.65
53,2017,139008,71137,51.17,67871,48.83,81347,58.52,57661,41.48
54,2018,139538,71351,51.13374134644326,68187,48.86625865355674,83137,59.58,56401,40.41981395748828
