年份,总值
1978,3593
1979,3865.8
1980,4168.6
1980,4587.6
1981,4822.1
1982,5257
1983,5823.1
1984,6707.8
1985,7608.7
1986,8289.6
1987,9256
1988,10294.7
1989,10727.8
1990,11148.3
1990,18872.9
1991,20621
1992,23554.3
1993,26824.5
1994,30321.5
1995,33642.9
1996,36981.2
1997,40397
1998,43566.6
1999,46904.5
2000,50886.7
2000,100280.1
2001,108639.2
2002,118561.9
2003,130463.2
2004,143657.8
2005,160027
2005,187318.9
2006,211147.7
2007,241195.8
2008,264472.8
2009,289329.9
2010,320102.6
2010,412119.3
2011,451480.1
2012,486983.3
2013,524803.1
2014,563118.9
2015,602005.7
2015,685992.9
2016,732190.3
2017,781663.7
2018,832998.9
