地区,2009,2010,2011,2012,2013,2014
全国,8.6,5.3,19.5,19.2,18.9,19.0
北京,45.5,29.9,56.6,50.1,52.7,59.6
天津,12.3,10.6,25.7,24.0,23.7,23.7
河北,5.7,3.1,10.7,7.9,9.3,9.2
山西,6.7,7.9,15.1,17.8,20.6,18.8
内蒙,11.9,12.1,31.6,31.2,27.2,28.9
辽宁,6.9,6.7,20.3,25.5,22.2,18.6
吉林,5.6,5.3,17.7,18.0,14.8,15.0
黑龙江,9.3,5.3,14.8,13.5,15.4,17.9
上海,29.3,48.2,64.4,62.9,60.1,61.9
江苏,11.3,11.2,23.4,20.1,18.0,21.9
浙江,16.4,18.9,39.2,38.4,40.3,39.2
安徽,4.2,2.6,13.3,14.3,12.7,15.2
福建,17.8,9.9,38.1,34.6,36.6,38.8
江西,4.7,2.6,11.7,8.5,8.9,8.9
山东,4.0,2.5,11.8,12.8,10.7,10.9
河南,1.7,1.6,12.2,9.0,8.3,8.7
湖北,4.6,4.1,13.9,16.9,20.6,18.0
湖南,2.7,2.0,9.6,7.8,8.9,10.9
广东,27.6,8.7,30.0,34.6,34.2,29.8
广西,3.4,3.0,13.8,10.7,12.7,14.9
海南,7.0,7.0,21.5,19.3,18.4,22.1
重庆,7.7,3.6,21.4,19.1,20.4,23.2
四川,5.4,3.3,15.9,17.9,14.3,14.7
贵州,4.8,4.2,16.4,14.3,16.2,17.5
云南,4.4,4.4,15.8,15.6,12.1,9.6
西藏,0.1,2.8,7.4,0.5,6.3,1.4
陕西,5.5,3.6,13.2,14.0,15.8,11.5
甘肃,1.9,2.3,9.1,10.6,9.2,8.3
青海,8.1,4.7,19.9,16.6,15.6,18.8
宁夏,8.4,12.3,23.3,23.9,22.7,21.4
新疆,4.1,8.1,22.3,19.9,18.5,17.7
