地区,2010,2011,2012,2013,2014,2015,2016,2017,2018
 全  国,49.95,51.27,52.57,53.73,54.77,56.1,57.35,58.52,59.58
 北  京,85.95945455699646,86.2,86.2,86.3,86.35,86.5,86.5,86.5,86.5
 天  津,79.55,80.5,81.55,82.01,82.27,82.64,82.93,82.93,83.15
 河  北,44.4954128440367,45.6,46.8,48.12,49.33,51.33,53.32,55.01,56.43
 山  西,48.05,49.68,51.26,52.56,53.79,55.03,56.21,57.34,58.41
 内蒙古,55.5,56.62,57.74,58.71,59.51,60.3,61.19,62.02,62.71
 辽  宁,62.10287519868284,64.05,65.65,66.45,67.05,67.35,67.37,67.49,68.1
 吉  林,53.349862641807015,53.4,53.7,54.2,54.81,55.31,55.97,56.65,57.53
 黑龙江,55.66077111702404,56.5,56.9,57.4,58.01,58.8,59.2,59.4,60.1
 上  海,89.30406315499889,89.3,89.3,89.6,89.6,87.6,87.9,87.7,88.1
 江  苏,60.58,61.9,63.0,64.11,65.21,66.52,67.72,68.76,69.61
 浙  江,61.62,62.3,63.2,64.0,64.87,65.8,67.0,68.0,68.9
 安  徽,43.01,44.8,46.5,47.86,49.15,50.5,51.99,53.49,54.690000000000005
 福  建,57.1,58.1,59.6,60.77,61.8,62.6,63.6,64.8,65.82
 江  西,44.06,45.7,47.51,48.87,50.22,51.62,53.1,54.6,56.02
 山  东,49.7,50.95,52.43,53.75,55.01,57.01,59.02,60.580000000000005,61.18
 河  南,38.5,40.57,42.43,43.8,45.2,46.85,48.5,50.16,51.709999999999994
 湖  北,49.7,51.83,53.5,54.51,55.67,56.85,58.1,59.3,60.3
 湖  南,43.3,45.1,46.65,47.96,49.28,50.89,52.75,54.62,56.019999999999996
 广  东,66.18,66.5,67.4,67.76,68.0,68.71,69.2,69.85,70.7
 广  西,40.0,41.8,43.53,44.81,46.01,47.06,48.08,49.21,50.22
 海  南,49.8,50.5,51.6,52.74,53.76,55.12,56.78,58.04,59.06
 重  庆,53.02,55.02,56.98,58.34,59.6,60.94,62.6,64.08,65.5
 四  川,40.179993762669966,41.83,43.53,44.9,46.3,47.69,49.21,50.79,52.29
 贵  州,33.81,34.96,36.41,37.83,40.01,42.01,44.15,46.019999999999996,47.519999999999996
 云  南,34.7,36.8,39.31,40.48,41.73,43.33,45.03,46.69,47.809999999999995
 西  藏,22.67083165954181,22.71,22.75,23.71,25.75,27.74,29.56,30.89,31.14
 陕  西,45.76,47.3,50.020674703881646,51.310674703881645,52.57067470388164,53.92,55.34,56.790000000000006,58.13000000000001
 甘  肃,36.12,37.15,38.75,40.13,41.68,43.19,44.69,46.39,47.69
 青  海,44.72,46.22,47.44,48.51,49.78,50.3,51.63,53.07,54.47
 宁  夏,47.9,49.82,50.67,52.01,53.61,55.23,56.29,57.98,58.88
 新  疆,43.01,43.54,43.98,44.47,46.07,47.23,48.35,49.38,50.910000000000004
