地区,人口数,0-14岁,15-64岁,65岁及以上,总抚养比,少年儿童抚养比,老年人口抚养比,老龄化比率
全国,1144648,192963,815039,136645.26,40.44,23.68,16.77,0.11937753789811366
北京,17673,1850,13834,1988.79,27.75,13.37,14.38,0.11253267696486165
天津,12794,1314,10083,1396.88,26.89,13.03,13.85,0.10918242926371738
河北,61907,11440,42612,7854.22,45.28,26.85,18.43,0.12687127465391637
山西,30481,4753,22580,3147.44,34.99,21.05,13.94,0.103259079426528
内蒙古,20781,2759,15976,2046.6,30.08,17.27,12.81,0.09848419229103507
辽宁,35744,3628,26763,5352.83,33.56,13.56,20.0,0.14975464413607878
吉林,22173,2725,16705,2743.18,32.73,16.31,16.42,0.12371713345059306
黑龙江,30946,3267,23899,3779.65,29.49,13.67,15.82,0.12213694823240484
上海,19877,1955,14950,2972.04,32.96,13.08,19.88,0.14952155757911154
江苏,65996,9061,47499,9435.01,38.94,19.08,19.86,0.1429633614158434
浙江,47034,6441,34485,6107.54,36.39,18.68,17.71,0.12985372283879745
安徽,51812,9631,35341,6840.06,46.61,27.25,19.35,0.13201690728016677
福建,32309,5402,23842,3064.98,35.51,22.66,12.86,0.09486458881426228
江西,38080,7725,26648,3706.97,42.9,28.99,13.91,0.0973469012605042
山东,82408,14842,55071,12495.13,49.64,26.95,22.69,0.15162520629065138
河南,78679,16761,53220,8697.98,47.84,31.49,16.34,0.11055021034837757
湖北,48498,7445,34995,6058.55,38.59,21.27,17.31,0.12492370819415234
湖南,56516,11013,38446,7056.81,47.0,28.65,18.36,0.12486393233774506
广东,93024,15729,69608,7686.71,33.64,22.6,11.04,0.08263147144822841
广西,40353,8821,27486,4045.75,46.81,32.09,14.72,0.10025896463707779
海南,7658,1469,5561,628.53,37.72,26.42,11.3,0.08207495429616088
重庆,25416,4303,17435,3677.88,45.77,24.68,21.09,0.14470727101038716
四川,68344,11185,46915,10243.67,45.67,23.84,21.83,0.14988396933161652
贵州,29487,6558,19585,3344.19,50.56,33.49,17.08,0.11341235120561603
云南,39584,7157,28637,3790.33,38.23,24.99,13.24,0.09575409256265158
西藏,2817,663,1994,160.37,41.27,33.23,8.04,0.056929357472488465
陕西,31684,4555,23592,3536.39,34.3,19.31,14.99,0.11161437949753819
甘肃,21614,3802,15366,2445.91,40.66,24.74,15.92,0.11316322753770704
青海,4945,967,3603,375.48,37.25,26.83,10.42,0.07593124368048534
宁夏,5638,1131,4000,506.9,40.96,28.29,12.67,0.08990776871230932
新疆,20375,4610,14307,1458.48,42.42,32.22,10.19,0.07158184049079755
