地区,合计,男,女
 全  国,1144648,585299,559349
 北  京,17673,8781,8892
 天  津,12794,6863,5931
 河  北,61907,31210,30697
 山  西,30481,15593,14888
 内蒙古,20781,10608,10174
 辽  宁,35744,17905,17839
 吉  林,22173,11198,10975
 黑龙江,30946,15697,15249
 上  海,19877,10256,9621
 江  苏,65996,33555,32441
 浙  江,47034,24418,22616
 安  徽,51812,26667,25145
 福  建,32309,16806,15503
 江  西,38080,19579,18500
 山  东,82408,41363,41045
 河  南,78679,39815,38864
 湖  北,48498,24973,23525
 湖  南,56516,28469,28047
 广  东,93024,50209,42815
 广  西,40353,20996,19357
 海  南,7658,3917,3741
 重  庆,25416,12730,12686
 四  川,68344,33944,34400
 贵  州,29487,15403,14084
 云  南,39584,20523,19061
 西  藏,2817,1401,1416
 陕  西,31684,15879,15804
 甘  肃,21614,11001,10613
 青  海,4945,2571,2373
 宁  夏,5638,2794,2844
 新  疆,20375,10175,10200
