地区,6岁及以上人口合计,6岁及以上人口男,6岁及以上人口女,未上过学小计,未上过学男,未上过学女,小学小计,小学男,小学女,初中小计,初中男,初中女,普通高中小计,普通高中男,普通高中女,中职小计,中职男,中职女,大学专科小计,大学专科男,大学专科女,大学本科小计,大学本科男,大学本科女,研究生小计,研究生男,研究生女
 全  国,1064195,542369,521826,57483,16481,41001,268951,127947,141004,401864,216604,185260,138751,77363,61388,48043,26357,21686,78481,41065,37416,64259,33263,30995,6364,3288,3076
 北  京,16691,8245,8446,351,115,236,1442,645,796,3452,1802,1650,2302,1187,1114,1023,520,503,2515,1252,1263,4098,2033,2065,1508,690,818
 天  津,12223,6555,5668,237,79,159,1644,794,851,4160,2388,1772,1607,845,762,1116,635,481,1488,799,689,1815,941,874,155,76,80
 河  北,57391,28867,28524,2654,844,1810,13852,6492,7360,24788,13281,11506,7502,3882,3620,2168,1171,998,3642,1909,1733,2624,1216,1408,161,73,88
 山  西,28597,14624,13973,829,271,559,5524,2525,2999,12146,6414,5731,4252,2441,1810,1401,728,673,2437,1243,1195,1857,935,921,151,67,84
 内蒙古,19630,10027,9603,1038,355,683,4509,2117,2391,6996,3798,3199,2471,1310,1161,823,493,330,2093,1105,988,1571,784,787,130,66,64
 辽  宁,34381,17222,17159,716,253,464,6378,2964,3414,15482,7958,7524,4570,2292,2278,1510,785,724,2813,1460,1353,2682,1407,1275,229,103,127
 吉  林,21211,10672,10539,682,208,474,5147,2445,2702,8813,4639,4174,3024,1590,1435,665,332,333,1251,636,615,1478,745,733,152,78,74
 黑龙江,29914,15180,14733,859,297,563,6760,3195,3565,13118,6926,6192,4102,2158,1944,918,457,461,2276,1177,1100,1782,922,860,97,48,49
 上  海,18895,9707,9188,534,145,389,2345,1085,1259,5958,3143,2815,2821,1526,1294,1249,702,547,2397,1243,1154,3075,1578,1497,517,285,232
 江  苏,62186,31588,30597,3902,972,2930,14057,6497,7560,23106,12569,10537,8562,4837,3725,3276,1863,1414,5208,2890,2318,3795,1797,1998,278,163,114
 浙  江,44089,22796,21293,2558,683,1876,11872,5715,6156,16079,9053,7027,5093,2917,2176,1482,855,627,3409,1744,1665,3294,1674,1619,302,155,147
 安  徽,47823,24523,23300,3441,924,2518,12839,6034,6805,18258,9659,8599,5864,3635,2229,1553,862,691,3442,2045,1397,2237,1259,978,188,106,82
 福  建,29725,15372,14353,2079,478,1601,8177,3786,4391,10642,6143,4499,3197,1899,1298,1666,963,703,1953,1006,947,1854,1009,844,158,88,70
 江  西,35213,17989,17224,1599,418,1181,10304,4847,5457,13705,7399,6306,4960,2874,2086,1154,580,574,1925,1111,814,1493,718,775,72,42,30
 山  东,75785,37866,37919,5352,1281,4071,19162,8887,10275,29000,15556,13444,8381,4818,3562,4191,2265,1926,5344,2821,2524,3971,2027,1944,385,212,172
 河  南,72177,36234,35943,3803,1134,2670,17390,8339,9050,31821,16589,15232,9877,5424,4453,2519,1363,1156,4171,2078,2093,2349,1172,1177,246,135,111
 湖  北,45347,23268,22079,2367,683,1684,10741,5062,5679,15744,8292,7452,6966,3615,3351,2471,1452,1018,3470,1842,1629,3385,2206,1180,203,117,86
 湖  南,52016,26059,25957,1843,562,1280,13335,6269,7066,19775,10083,9691,8829,5021,3808,2055,1004,1052,3606,1711,1896,2328,1279,1049,245,130,116
 广  东,86007,46362,39645,2937,839,2098,18224,8549,9675,33986,19073,14912,14688,8784,5904,5500,3292,2208,6439,3525,2914,3997,2154,1843,236,145,91
 广  西,36719,19051,17669,1526,492,1034,10538,4963,5574,16124,8886,7238,3944,2256,1687,1991,1103,889,1718,897,821,819,412,407,59,41,18
 海  南,7051,3578,3473,299,87,212,1262,592,670,2997,1616,1381,869,526,343,448,236,212,540,286,254,624,229,395,10,5,5
 重  庆,23659,11813,11846,1025,296,729,7426,3563,3863,7471,3934,3538,3279,1661,1618,864,474,390,2002,1076,926,1450,733,718,142,77,65
 四  川,63872,31618,32254,4853,1319,3534,21014,10395,10619,20501,10972,9529,6696,3553,3143,2557,1293,1264,4625,2185,2440,3276,1715,1561,351,187,164
 贵  州,26757,13916,12840,2656,722,1935,9292,4816,4476,9112,5259,3853,2354,1322,1031,855,471,384,1281,665,616,1184,645,538,23,16,7
 云  南,36584,18926,17658,2993,968,2027,13080,6451,6629,12369,7053,5317,2983,1791,1192,1524,813,710,2071,1109,962,1494,714,780,70,28,42
 西  藏,2537,1256,1282,835,325,510,881,478,402,458,259,199,138,75,62,24,12,12,91,48,43,110,57,53,2,1,1
 陕  西,29664,14848,14816,1602,475,1127,7092,3282,3809,10720,5703,5017,4060,2218,1842,1024,521,503,2220,1131,1088,2784,1428,1356,164,91,74
 甘  肃,19988,10148,9840,2067,589,1477,6374,3079,3294,5921,3286,2635,2402,1410,993,708,421,287,1367,730,638,1113,614,499,37,19,18
 青  海,4520,2348,2173,536,179,357,1533,763,770,1259,735,524,395,222,173,144,82,62,316,179,137,323,179,144,13,8,5
 宁  夏,5168,2545,2623,474,142,332,1469,726,743,1700,952,748,660,294,366,183,97,86,407,191,216,261,135,127,12,7,5
 新  疆,18375,9165,9210,834,351,483,5290,2590,2701,6203,3184,3019,1904,978,925,979,511,468,1963,975,988,1137,546,590,66,30,36
