地区,规模度,投入度,质量度,信息度,公平度,贡献度,发展指数
北京,3.85,10.0,10.0,10.0,9.07,10.0,10.0
天津,3.94,5.49,6.92,5.19,6.97,2.03,5.63
河北,7.35,3.35,6.44,5.23,6.91,0.26,5.33
山西,5.14,3.13,6.34,4.44,7.28,0.37,4.86
内蒙古,3.8,4.04,6.12,4.54,7.0,0.37,4.7
辽宁,4.95,3.42,7.41,5.51,7.23,1.71,5.58
吉林,4.37,3.71,6.87,4.81,7.6,1.16,5.24
黑龙江,4.28,3.73,7.0,5.14,7.56,1.0,5.27
上海,3.35,7.8,8.21,7.24,10.0,5.15,7.75
江苏,7.16,5.66,8.59,7.56,7.28,2.02,7.02
浙江,5.49,5.27,7.48,6.47,6.86,0.92,5.92
安徽,6.33,3.35,6.49,5.0,6.76,0.83,5.24
福建,5.15,3.64,6.59,5.21,7.22,0.89,5.23
江西,6.72,3.01,5.89,4.62,6.86,0.36,4.96
山东,8.58,4.3,7.44,6.43,6.46,0.77,6.16
河南,10.0,3.14,6.65,5.82,6.31,0.34,5.8
湖北,6.07,3.98,7.47,5.6,7.17,1.55,5.85
湖南,6.82,3.25,6.55,4.99,6.73,0.71,5.28
广东,9.35,5.41,7.43,7.54,5.89,1.31,6.69
广西,6.59,3.01,5.99,4.84,6.51,0.32,4.93
海南,3.85,3.34,5.61,3.97,7.49,0.47,4.49
重庆,5.43,3.41,6.4,5.27,6.39,0.9,5.07
四川,7.26,3.88,6.91,6.55,6.65,0.86,5.82
贵州,6.54,3.13,5.67,4.61,6.12,0.26,4.75
云南,5.59,3.35,5.96,4.22,6.42,0.46,4.72
西藏,3.19,5.86,5.88,4.31,6.1,0.36,4.66
陕西,6.1,3.68,7.3,5.98,7.6,1.69,5.93
甘肃,4.73,3.25,6.16,3.9,6.37,0.79,4.62
青海,3.14,4.04,5.53,4.35,6.22,0.28,4.28
宁夏,3.98,3.18,5.7,4.73,5.93,0.43,4.36
新疆,4.83,3.93,5.86,4.35,6.04,0.51,4.64
